2026-05-15 02:31:42 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Inserted 1063 new articles
2026-05-15 02:31:43 | INFO     | scheduler | Got 0 recent articles for clustering
2026-05-15 02:31:43 | WARNING  | scheduler | No recent articles to process
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:17 | INFO     | main | Initializing database...
2026-05-15 02:33:17 | INFO     | main | Database initialized.
2026-05-15 02:33:17 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:17 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:17 | INFO     | scheduler | Scheduler started — pipeline runs every 6 hours
2026-05-15 02:33:17 | INFO     | main | Initializing database...
2026-05-15 02:33:17 | INFO     | main | Database initialized.
2026-05-15 02:33:17 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:17 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:18 | INFO     | main | Initializing database...
2026-05-15 02:33:18 | INFO     | main | Database initialized.
2026-05-15 02:33:18 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:18 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:18 | INFO     | main | Initializing database...
2026-05-15 02:33:18 | INFO     | main | Database initialized.
2026-05-15 02:33:18 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:18 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:18 | INFO     | main | Initializing database...
2026-05-15 02:33:18 | INFO     | main | Database initialized.
2026-05-15 02:33:18 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:18 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:19 | INFO     | main | Initializing database...
2026-05-15 02:33:19 | INFO     | main | Database initialized.
2026-05-15 02:33:19 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:19 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:19 | INFO     | main | Initializing database...
2026-05-15 02:33:19 | INFO     | main | Database initialized.
2026-05-15 02:33:19 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:19 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:19 | INFO     | main | Initializing database...
2026-05-15 02:33:19 | INFO     | main | Database initialized.
2026-05-15 02:33:19 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:19 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:20 | INFO     | main | Initializing database...
2026-05-15 02:33:20 | INFO     | main | Database initialized.
2026-05-15 02:33:20 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:20 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:20 | INFO     | main | Initializing database...
2026-05-15 02:33:20 | INFO     | main | Database initialized.
2026-05-15 02:33:20 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:20 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:20 | INFO     | main | Initializing database...
2026-05-15 02:33:20 | INFO     | main | Database initialized.
2026-05-15 02:33:20 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:20 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:21 | INFO     | main | Initializing database...
2026-05-15 02:33:21 | INFO     | main | Database initialized.
2026-05-15 02:33:21 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:21 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:21 | INFO     | main | Initializing database...
2026-05-15 02:33:21 | INFO     | main | Database initialized.
2026-05-15 02:33:21 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:21 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:21 | INFO     | main | Initializing database...
2026-05-15 02:33:21 | INFO     | main | Database initialized.
2026-05-15 02:33:21 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:21 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:22 | INFO     | main | Initializing database...
2026-05-15 02:33:22 | INFO     | main | Database initialized.
2026-05-15 02:33:22 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:22 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:22 | INFO     | main | Initializing database...
2026-05-15 02:33:22 | INFO     | main | Database initialized.
2026-05-15 02:33:22 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:22 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:22 | INFO     | main | Initializing database...
2026-05-15 02:33:22 | INFO     | main | Database initialized.
2026-05-15 02:33:22 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:22 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:23 | INFO     | main | Initializing database...
2026-05-15 02:33:23 | INFO     | main | Database initialized.
2026-05-15 02:33:23 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:23 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:34 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:34 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Inserted 1063 new articles
2026-05-15 02:33:37 | INFO     | scheduler | Got 0 recent articles for clustering
2026-05-15 02:33:37 | WARNING  | scheduler | No recent articles to process
2026-05-15 02:33:37 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:37 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:38 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:35:02 | INFO     | main | Initializing database...
2026-05-15 02:35:02 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
2026-05-15 02:41:36 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
2026-05-15 02:41:36 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
2026-05-15 02:41:36 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
2026-05-15 02:41:36 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
2026-05-15 02:41:36 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
2026-05-15 02:41:36 | INFO     | main | Database initialized.
2026-05-15 02:41:36 | INFO     | main | Initializing database...
